customer_id,account_id,account_type,account_open_date,account_status,gender,age,state,pincode,customer_segment,employment_status,employer_name,annual_income_inr,account_balance_inr,num_products_held,kyc_status,nominee_added,mobile_banking_enabled,net_banking_enabled,credit_card_linked,demat_account,branch_name,relationship_manager_id,last_login_days_ago,is_dormant,churn_flag,fraud_flag,loan_type,loan_amount_inr,loan_tenure_months,outstanding_principal_inr,emi_amount_inr,days_past_due,is_npa,penalty_amount_inr,credit_score,credit_bureau,risk_rating,savings_interest_rate_pct,fd_interest_rate_pct,overdraft_limit_inr,monthly_interest_income_inr,monthly_service_charges_inr,num_transactions_last_month,avg_transaction_value_inr,last_transaction_date,last_transaction_type,last_transaction_channel,last_transaction_amount_inr,transaction_currency
CUST100017,ACC900017,Fixed Deposit,2018-05-08,Closed,M,72.0,Tamil Nadu,335137.0,Retail,Salaried,Employer_22,2282102.87,871617.03,6.0,Verified,N,Y,,,Y,Ahmedabad SG Highway,,376.0,0.0,1.0,0.0,Personal Loan,380119.12,84.0,157778.76,7602.38,180.0,1.0,3834.35,401.0,EXPERIAN,Very High,,7.23,,8687.77,248.5,113.0,32885.88,2019-01-25,EMI,NEFT,163421.57,INR
CUST100018,ACC900018,Current,2024-06-09,Closed,F,72.0,Maharashtra,321494.0,SME,,,3175628.65,59924.14,7.0,Rejected,Y,Y,N,,Y,Bangalore MG Road,,122.0,,1.0,1.0,Auto Loan,1723794.78,120.0,287281.36,34475.9,0.0,0.0,0.0,520.0,,Very High,,,,3260.7,223.85,20.0,26175.21,2024-09-08,Credit,Net Banking,74368.2,INR
CUST100019,ACC900019,Fixed Deposit,2022-10-30,Inactive,F,52.0,Telangana,757685.0,Retail,Salaried,Employer_131,2670609.08,137995.96,6.0,Pending,N,,,N,,Hyderabad Banjara Hills,,480.0,0.0,,0.0,Home Loan,-523822.86,120.0,-305155.71,-10476.46,0.0,0.0,0.0,632.0,,,,7.91,,11977.88,295.89,117.0,7047.11,2024-08-09,Interest,RTGS,40384.54,USD
CUST100020,ACC900020,Current,2021-01-30,Active,M,50.0,Gujarat,858889.0,HNI,Student,,1601893.26,-741411.91,8.0,Verified,Y,N,Y,,,Hyderabad Banjara Hills,RM22,144.0,,1.0,0.0,,,,,,0.0,0.0,0.0,819.0,,Low,,,,7800.98,1886.26,101.0,36636.71,2021-08-09,Interest,IMPS,-10677.94,INR
CUST100021,ACC900021,Current,2022-05-25,Closed,F,23.0,Karnataka,922471.0,Corporate,,,2824708.46,267470.67,7.0,Verified,,N,Y,,Y,Jaipur Vaishali,RM13,584.0,1.0,1.0,0.0,,,,,,180.0,1.0,2000.37,733.0,CIBIL,,,,,2585.73,1608.0,23.0,26624.17,2019-07-18,Credit,Mobile App,148080.25,INR
CUST100022,ACC900022,Fixed Deposit,2021-02-28,,,44.0,Rajasthan,977330.0,Retail,Self-Employed,,3968529.42,519101.54,8.0,Pending,Y,Y,Y,N,,Hyderabad Banjara Hills,,647.0,0.0,1.0,0.0,Business Loan,4682190.34,24.0,1566315.0,93643.81,180.0,1.0,4665.05,747.0,EXPERIAN,High,,8.04,,7377.48,36.68,113.0,73680.74,2022-03-12,EMI,Branch,473801.72,INR
CUST100023,ACC900023,Checking,2021-04-08,Frozen,,,Rajasthan,505426.0,HNI,,,1361537.49,164262.8,8.0,Rejected,N,Y,N,N,N,Ahmedabad SG Highway,RM12,376.0,0.0,1.0,,Business Loan,2745296.73,12.0,1201740.19,54905.93,60.0,0.0,3712.58,316.0,CIBIL,Medium,,,3685177.35,725.51,1929.44,93.0,60731.35,2018-07-01,Interest,NEFT,174934.48,INR
CUST100024,ACC900024,Savings,2022-10-05,Frozen,M,70.0,Rajasthan,242321.0,Retail,Retired,,2691220.12,1335574.64,6.0,Expired,,N,Y,,N,Hyderabad Banjara Hills,,730.0,0.0,1.0,0.0,Education Loan,870266.04,84.0,549405.43,17405.32,0.0,0.0,0.0,715.0,EXPERIAN,,4.07,,,4050.87,387.48,18.0,-1224.74,2022-02-09,EMI,NEFT,9846397.51,GBP
CUST100025,ACC900025,Savings,2021-08-02,,F,22.0,Tamil Nadu,744274.0,,,,4571029.1,1909156.69,3.0,,N,Y,,,N,Chennai East,,606.0,0.0,0.0,,Business Loan,1193875.5,48.0,,23877.51,180.0,1.0,1129.48,778.0,CIBIL,Medium,5.01,,,13059.95,634.69,50.0,43513.41,2018-10-30,Transfer,Mobile App,326990.25,EUR
CUST100026,ACC900026,Checking,2024-10-14,,Other,54.0,Telangana,267082.0,,Business Owner,,,92102.57,6.0,Pending,Y,Y,N,,,Ahmedabad SG Highway,,315.0,0.0,,0.0,,,,,,0.0,0.0,0.0,726.0,,Medium,,,481616.55,8440.21,513.38,69.0,50112.26,2022-07-22,EMI,UPI,1491421.86,GBP
CUST100027,ACC900027,Savings,2019-01-04,Closed,,33.0,Rajasthan,414353.0,HNI,Self-Employed,,88838915.94,1215859.11,1.0,Expired,,N,,,,Jaipur Vaishali,RM2,112.0,,1.0,1.0,Auto Loan,2687923.99,60.0,1905068.91,53758.48,90.0,1.0,4606.99,,EQUIFAX,,2.69,,,10753.27,287.15,9.0,39548.79,2024-12-27,Debit,Net Banking,501921.43,EUR
CUST100028,ACC900028,Recurring Deposit,2021-06-14,Closed,F,58.0,Telangana,687713.0,SME,Self-Employed,,3104670.13,1891158.62,6.0,Expired,,Y,,,N,Pune FC Road,,692.0,0.0,1.0,,Home Loan,2976353.52,120.0,640038.47,59527.07,0.0,0.0,0.0,751.0,,,,,,8957.19,1168.96,88.0,34333.65,2018-09-13,Interest,Mobile App,105433.22,INR
CUST100029,ACC900029,Fixed Deposit,2021-11-14,Inactive,F,36.0,Karnataka,772464.0,,,,1804427.13,962116.37,1.0,Verified,N,,,Y,N,Mumbai Central,,479.0,0.0,0.0,0.0,Business Loan,3536489.18,48.0,1085841.8,70729.78,0.0,0.0,0.0,,EQUIFAX,Medium,,6.67,,11997.01,1619.94,12.0,639.8,2022-07-25,EMI,IMPS,318383.28,EUR
CUST100030,ACC900030,Checking,2019-04-07,,Other,47.0,Rajasthan,479358.0,SME,Self-Employed,,,686320.13,5.0,Expired,Y,,,Y,,Ahmedabad SG Highway,,560.0,,0.0,0.0,Personal Loan,955176.14,120.0,522571.45,19103.52,0.0,0.0,0.0,788.0,EXPERIAN,,,,318690.63,3383.26,898.46,,19857.02,2021-05-21,Transfer,ATM,312563.2,INR
CUST100031,ACC900031,Recurring Deposit,2024-01-08,Active,F,72.0,Karnataka,860242.0,SME,Retired,,746432.14,187966.44,3.0,Expired,Y,Y,N,N,Y,Pune FC Road,,429.0,,,0.0,Education Loan,707618.23,,452679.36,14152.36,30.0,0.0,3766.91,523.0,CIBIL,Very High,,,,1847.66,263.22,89.0,-19856.7,2023-04-18,Transfer,ATM,209928.56,INR
CUST100032,ACC900032,Checking,2020-04-24,Active,M,20.0,Delhi,988283.0,SME,Business Owner,,2923158.44,1441861.9,7.0,,N,Y,N,Y,N,Pune FC Road,,195.0,,0.0,0.0,Personal Loan,3648029.03,60.0,1099199.56,72960.58,,,0.0,628.0,EQUIFAX,Very High,,,392927.1,4721.05,1915.06,84.0,33390.42,2024-08-20,Penalty,Mobile App,324028.11,EUR
CUST100033,ACC900033,Current,2022-03-25,Inactive,F,20.0,Rajasthan,868367.0,Corporate,Self-Employed,,1111327.87,1159225.8,4.0,Expired,N,N,,,,Ahmedabad SG Highway,RM11,500.0,,1.0,1.0,Auto Loan,1506088.43,48.0,1451289.31,30121.77,120.0,1.0,1120.85,509.0,EXPERIAN,High,,,,344.55,1396.27,99.0,30146.47,2020-12-07,Interest,NEFT,454784.56,INR
CUST100034,ACC900034,Recurring Deposit,2018-08-29,,M,,Maharashtra,497687.0,SME,,,4860992.46,802919.4,2.0,,,Y,N,,Y,Mumbai Central,,652.0,1.0,0.0,0.0,,,,,,0.0,0.0,0.0,,EQUIFAX,Medium,,,,3599.07,679.04,81.0,,2023-12-20,Credit,RTGS,8491.64,EUR
CUST100035,ACC900035,Checking,2018-12-05,Active,,59.0,Gujarat,812711.0,,Retired,,2789783.28,26201694.76,3.0,,N,N,Y,N,,Kolkata West,,302.0,0.0,1.0,0.0,,,,,,,,0.0,347.0,EQUIFAX,High,,,243990.42,6507.21,1522.12,72.0,13809.59,2020-04-28,Penalty,Mobile App,402230.04,INR
CUST100036,ACC900036,Savings,2018-12-03,Closed,Other,63.0,Gujarat,782661.0,SME,Self-Employed,,3597786.36,10735.33,8.0,Verified,,N,N,N,N,Chennai East,,711.0,0.0,1.0,0.0,Auto Loan,552207.65,120.0,104266.32,11044.15,,,0.0,632.0,CIBIL,High,4.31,,,14162.96,1188.38,49.0,60902.47,2020-09-21,Penalty,Mobile App,186640.92,GBP
CUST100037,ACC900037,Fixed Deposit,2021-07-10,Closed,F,38.0,Tamil Nadu,146448.0,Corporate,,,3896200.28,1529695.43,3.0,Pending,Y,Y,,,N,Ahmedabad SG Highway,RM49,440.0,0.0,0.0,1.0,,,,,,90.0,1.0,3559.09,877.0,EXPERIAN,Medium,,8.16,,1199.58,835.31,70.0,77838.56,2022-12-01,Penalty,UPI,35695.41,INR
CUST100038,ACC900038,Savings,2019-02-08,Closed,Other,65.0,Delhi,662968.0,,Self-Employed,,2392071.66,1159132.3,7.0,,Y,N,,Y,,Kolkata West,,468.0,1.0,0.0,0.0,Home Loan,2542318.56,24.0,486956.95,50846.37,30.0,0.0,3098.85,511.0,EQUIFAX,Medium,3.66,,,6221.39,,56.0,26444.57,2019-04-17,Transfer,ATM,313144.56,INR
CUST100039,ACC900039,Current,2023-06-28,,M,38.0,West Bengal,388204.0,SME,Self-Employed,,3078960.13,1744169.53,6.0,,N,Y,Y,,Y,Chennai East,,468.0,1.0,,0.0,,,,,,30.0,0.0,2782.4,386.0,EQUIFAX,High,,,,9750.74,957.97,39.0,14822.98,2022-09-10,Interest,Mobile App,194517.11,INR
CUST100040,ACC900040,Recurring Deposit,2023-09-24,Closed,M,35.0,Tamil Nadu,239136.0,HNI,Student,,2865259.12,876403.54,1.0,Pending,Y,N,Y,N,,Pune FC Road,RM10,692.0,,0.0,1.0,,,,,,0.0,0.0,0.0,333.0,EQUIFAX,Medium,,,,7764.66,1972.24,104.0,36209.04,2020-08-28,Penalty,Branch,300199.39,INR
CUST100041,ACC900041,Fixed Deposit,2019-08-06,Frozen,M,58.0,Telangana,489906.0,Corporate,Business Owner,,-830802.98,1576300.74,8.0,Expired,,N,Y,N,Y,Bangalore MG Road,RM4,716.0,1.0,0.0,0.0,,,,,,60.0,0.0,4626.96,799.0,CIBIL,,,8.58,,616791.2,,108.0,59489.08,2022-01-07,Interest,Net Banking,205379.97,GBP
CUST100042,ACC900042,Fixed Deposit,2019-01-09,Closed,F,31.0,,297810.0,SME,Student,,556745.09,,2.0,Rejected,,Y,,N,Y,Chennai East,,245.0,0.0,1.0,0.0,Auto Loan,4062879.65,36.0,1971567.21,81257.59,0.0,0.0,0.0,676.0,EXPERIAN,Medium,,8.01,,9296.23,614.98,104.0,49179.51,2024-04-26,Interest,ATM,332275.15,INR
CUST100043,ACC900043,Fixed Deposit,2019-04-07,Active,F,56.0,Maharashtra,877722.0,Retail,Business Owner,,2859081.71,1935277.63,3.0,Verified,Y,N,Y,N,,Bangalore MG Road,,,0.0,0.0,0.0,Business Loan,2063467.42,,1789524.92,41269.35,0.0,0.0,0.0,,CIBIL,,,6.56,,9723.91,135.27,101.0,40631.79,2022-08-29,Penalty,RTGS,201956.1,USD
CUST100044,ACC900044,Savings,2019-11-03,Closed,,51.0,Delhi,108356.0,HNI,Retired,,1012445.44,552494.68,1.0,Expired,Y,N,N,N,N,Ahmedabad SG Highway,RM13,311.0,,,0.0,Home Loan,1712379.61,60.0,1156948.94,34247.59,120.0,1.0,86262.97,356.0,EXPERIAN,Medium,3.62,,,3730.71,1589.12,32.0,68809.85,2023-09-16,Credit,ATM,,INR
CUST100045,ACC900045,Fixed Deposit,2022-02-17,Inactive,M,67.0,Telangana,661957.0,SME,Self-Employed,,3820293.47,287200.63,1.0,,Y,Y,Y,N,N,Delhi North,,474.0,0.0,0.0,0.0,Business Loan,1831365.21,84.0,191883.43,36627.3,30.0,0.0,1587.8,842.0,,Low,,7.65,,2119.4,1913.55,7.0,59390.7,2023-10-30,Penalty,RTGS,458900.33,INR
CUST100046,ACC900046,Savings,2019-01-06,Inactive,F,37.0,Rajasthan,393366.0,Retail,Business Owner,,1173622.3,1407700.42,1.0,Verified,,N,N,N,,Chennai East,,658.0,0.0,0.0,0.0,Home Loan,3568988.73,12.0,3263375.84,71379.77,180.0,1.0,4517.0,773.0,EXPERIAN,Low,7.12,,,6551.49,754.28,7.0,10495.25,2018-12-11,Credit,UPI,-5070.02,GBP
CUST100047,ACC900047,Recurring Deposit,2018-03-21,Active,,40.0,West Bengal,120896.0,,Self-Employed,,2920314.22,972855.68,6.0,Pending,Y,N,Y,Y,Y,Chennai East,,628.0,1.0,1.0,0.0,Auto Loan,,60.0,,,0.0,0.0,0.0,783.0,EXPERIAN,High,,,,10653.03,293.77,12.0,54282.0,2018-08-18,Interest,Branch,417122.24,INR
CUST100048,ACC900048,Checking,2021-10-27,Active,F,69.0,Telangana,213282.0,Retail,Student,,476620.28,284480.58,4.0,Rejected,N,Y,Y,,Y,,,429.0,0.0,0.0,0.0,Auto Loan,5017099.57,120.0,2947565.11,100341.99,0.0,0.0,0.0,747.0,EQUIFAX,Medium,,,480483.06,3525.05,1807.64,71.0,17429.5,2021-06-10,Debit,UPI,,INR
CUST100049,ACC900049,Fixed Deposit,2023-07-13,Active,,42.0,Delhi,794178.0,HNI,Retired,,4207436.63,1509220.18,4.0,,Y,Y,N,Y,N,Chennai East,RM13,,1.0,,0.0,,,,,,0.0,0.0,0.0,626.0,CIBIL,Low,,6.64,,8389.81,1267.81,21.0,-6216.69,2019-01-17,Interest,NEFT,502714.23,GBP
CUST100050,ACC900050,Current,2018-12-02,Active,,37.0,Karnataka,862422.0,,Student,,2392379.46,1267352.0,3.0,,,N,Y,,Y,Mumbai Central,,406.0,0.0,0.0,0.0,Education Loan,1834072.48,,597855.5,36681.45,0.0,0.0,0.0,399.0,EQUIFAX,,,,,14883.54,324.06,52.0,45790.43,2022-09-11,Interest,IMPS,422277.48,INR
CUST100051,ACC900051,Current,2023-10-30,Active,,18.0,Telangana,640299.0,SME,Business Owner,,727151.17,1118964.1,4.0,Expired,Y,N,,N,,Bangalore MG Road,,518.0,0.0,,0.0,Home Loan,2774635.85,84.0,2384266.25,55492.72,,,0.0,338.0,EQUIFAX,Low,,,,4702.59,648.47,79.0,3239.33,2020-08-31,Penalty,ATM,234629.98,EUR
CUST100052,ACC900052,Checking,2023-11-18,,M,,Delhi,,SME,Business Owner,,4203798.48,2346968.79,1.0,Pending,N,,,,N,Kolkata West,,623.0,0.0,,0.0,Personal Loan,1406909.48,24.0,954217.82,28138.19,120.0,1.0,2086.97,785.0,EQUIFAX,,,,461261.14,233.01,619.64,114.0,58678.22,2022-05-03,Debit,ATM,414728.82,USD
CUST100053,ACC900053,Current,2019-03-19,Closed,,35.0,Gujarat,447411.0,SME,,,4423843.56,1722320.74,3.0,,Y,N,Y,,N,Kolkata West,,474.0,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,713.0,EXPERIAN,High,,,,4585.25,1510.22,83.0,79148.2,2022-05-10,Interest,ATM,343084.7,INR
CUST100054,ACC900054,Fixed Deposit,2018-08-08,Closed,F,57.0,Maharashtra,360909.0,HNI,Self-Employed,,2362721.9,1349724.25,8.0,Expired,Y,N,,Y,Y,Ahmedabad SG Highway,RM45,105.0,,1.0,0.0,,,,,,0.0,0.0,0.0,505.0,,,,5.52,,6515.72,,114.0,11257.57,2018-11-28,Transfer,IMPS,319797.44,INR
CUST100055,ACC900055,Recurring Deposit,2024-08-08,Frozen,Other,70.0,Delhi,922880.0,SME,Retired,,1654182.91,1239224.69,5.0,Verified,N,Y,,,,Mumbai Central,,204.0,,0.0,0.0,Personal Loan,1721945.33,48.0,426429.24,34438.91,0.0,0.0,0.0,434.0,CIBIL,Very High,,,,10753.94,17.87,21.0,28091.35,2020-11-13,Interest,ATM,504978.19,INR
CUST100056,ACC900056,Recurring Deposit,2020-04-06,Frozen,Other,36.0,Gujarat,385037.0,Corporate,Business Owner,,359122.07,1773479.01,2.0,Expired,N,N,Y,Y,N,Mumbai Central,RM45,664.0,0.0,0.0,1.0,,,,,,0.0,0.0,0.0,887.0,EXPERIAN,Very High,,,,247.71,687.24,99.0,56526.01,2020-08-04,Transfer,IMPS,8842876.62,INR
CUST100057,ACC900057,Savings,2019-06-27,Frozen,F,72.0,,522866.0,HNI,,,678719.24,1150772.11,7.0,Rejected,N,N,Y,,Y,Delhi North,RM6,586.0,1.0,0.0,0.0,,,,,,60.0,0.0,4078.28,433.0,,Very High,6.7,,,8044.3,1331.69,52.0,3796.73,2023-11-20,Penalty,Branch,444802.81,INR
CUST100058,ACC900058,Savings,2023-08-04,,,49.0,Rajasthan,,,Business Owner,,678595.67,848.09,7.0,Verified,N,,,,Y,Pune FC Road,,599.0,,,0.0,Business Loan,3225796.37,,2797858.62,64515.93,0.0,0.0,0.0,639.0,EQUIFAX,Medium,4.79,,,11282.56,856.91,14.0,59829.28,2021-04-10,Penalty,NEFT,53210.13,INR
CUST100059,ACC900059,Recurring Deposit,2019-12-27,Active,F,64.0,,,,Business Owner,,686339.79,638788.4,7.0,Verified,Y,Y,,N,Y,Hyderabad Banjara Hills,,691.0,0.0,1.0,1.0,Business Loan,4479977.58,84.0,3991695.0,89599.55,90.0,1.0,291.11,824.0,EQUIFAX,Very High,,,,12532.51,203.42,119.0,15891.04,2021-11-15,Penalty,Mobile App,325204.75,INR
CUST100060,ACC900060,Recurring Deposit,2022-05-12,Closed,F,68.0,Gujarat,331942.0,SME,Business Owner,,129220193.13,848854.94,6.0,Verified,,Y,N,,,Bangalore MG Road,,300.0,0.0,0.0,0.0,Business Loan,306928.88,,252285.88,6138.58,60.0,0.0,365.33,859.0,EXPERIAN,Medium,,,,12026.54,605.33,22.0,15141.67,2022-03-26,EMI,ATM,134893.82,INR
CUST100061,ACC900061,Recurring Deposit,2023-12-13,,,70.0,Gujarat,660814.0,,Self-Employed,,713928.35,1251796.86,2.0,Verified,,N,N,N,Y,Pune FC Road,,599.0,1.0,,0.0,Home Loan,3571237.04,24.0,1495276.03,71424.74,180.0,1.0,366.69,683.0,,Very High,,,,432.94,142.86,114.0,24720.1,2024-01-13,Penalty,ATM,33727.52,INR
CUST100062,ACC900062,Savings,2022-01-05,Frozen,M,68.0,Karnataka,259797.0,HNI,Business Owner,,3236077.16,727331.54,1.0,,Y,N,N,N,N,Kolkata West,RM21,320.0,0.0,0.0,0.0,Personal Loan,2661335.18,60.0,2481311.36,53226.7,60.0,0.0,1738.29,311.0,CIBIL,Low,5.72,,,1160.19,412.66,73.0,42223.64,2021-11-09,EMI,Branch,436632.98,USD
CUST100063,ACC900063,Checking,2022-11-22,Inactive,Other,26.0,Delhi,345386.0,,Retired,,4349094.83,591470.98,6.0,Pending,N,Y,Y,N,Y,Bangalore MG Road,,369.0,0.0,,1.0,Business Loan,470648.1,48.0,145918.53,9412.96,0.0,0.0,0.0,819.0,,,,,344972.74,9262.21,932.49,27.0,46422.44,2023-04-18,Transfer,Mobile App,198068.87,INR
CUST100064,ACC900064,Fixed Deposit,2023-02-06,Active,M,,Maharashtra,863336.0,Retail,Business Owner,,686594.32,551657.81,8.0,Rejected,,N,,,,Kolkata West,,621.0,0.0,0.0,0.0,Business Loan,898291.1,24.0,504049.54,17965.82,180.0,1.0,2472.7,653.0,,Very High,,7.36,,9494.39,246.43,0.0,35355.25,2021-02-24,Debit,Branch,95566.67,INR
CUST100065,ACC900065,Fixed Deposit,2019-11-30,,F,56.0,West Bengal,,Corporate,Retired,,3882483.43,1349048.4,7.0,,N,,,N,N,Pune FC Road,RM37,7.0,0.0,0.0,,Auto Loan,4416635.44,120.0,1832522.8,88332.71,180.0,1.0,2809.89,453.0,EXPERIAN,Low,,8.75,,7174.76,1663.5,78.0,72017.52,2019-01-17,Penalty,IMPS,67388.51,INR
